0610005C13Rik	6345
0610006L08Rik	0
0610009E02Rik	78
0610009L18Rik	44
0610010K14Rik	539
0610025J13Rik	3
0610030E20Rik	1518
0610031O16Rik	4880
0610038B21Rik	0
0610039H22Rik	0
0610039K10Rik	1
0610040B10Rik	131
0610040F04Rik	35
0610040J01Rik	1113
0610042G04Rik	69
0610043K17Rik	209
1100001I12Rik	0
1110002E22Rik	0
1110002J07Rik	33
1110002L01Rik	298
1110002O04Rik	0
1110004F10Rik	1663
1110006O24Rik	23
1110015O18Rik	0
1110018N20Rik	20
1110019D14Rik	102
1110020A21Rik	251
1110025L11Rik	0
1110025M09Rik	37
1110028F11Rik	0
1110028F18Rik	0
1110032F04Rik	0
1110036E04Rik	0
1110038B12Rik	592
1110038F14Rik	257
1110046J04Rik	17
1110057P08Rik	0
1110058D11Rik	0
1110059E24Rik	232
1110059G10Rik	367
1110065P20Rik	348
1190005I06Rik	0
1190028D05Rik	0
1300002E11Rik	481
1500002C15Rik	22
1500002F19Rik	59
1500004A13Rik	18
1500009L16Rik	3
1500011B03Rik	28
1500012K07Rik	0
1500015A07Rik	54
1500015L24Rik	0
1500026H17Rik	43
1500035N22Rik	0
1600002D24Rik	0
1600010M07Rik	10
1600012H06Rik	916
1600012P17Rik	0
1600014C10Rik	6722
1600014C23Rik	0
1600015H23Rik	0
1600019K03Rik	0
1600020E01Rik	501
1600023N17Rik	25
1600025M17Rik	0
1600027J07Rik	0
1600029I14Rik	0
1600029O15Rik	0
1700001D01Rik	0
1700001F09Rik	0
1700001G01Rik	1
1700001G11Rik	0
1700001G17Rik	2
1700001J03Rik	0
1700001J04Rik	0
1700001J11Rik	0
1700001K19Rik	0
1700001K23Rik	0
1700001L05Rik	139
1700001O22Rik	0
1700003C15Rik	0
1700003D09Rik	1
1700003E16Rik	7
1700003E24Rik	0
1700003F12Rik	5
1700003G18Rik	1
1700003H04Rik	0
1700003I22Rik	0
1700003L19Rik	0
1700003M07Rik	0
1700003P14Rik	0
1700006A11Rik	0
1700006F04Rik	0
1700006H20Rik	0
1700006H21Rik	0
1700006J14Rik	10
1700007E05Rik	4
1700007F19Rik	0
1700007J10Rik	28
1700007L15Rik	20
1700007P06Rik	0
1700008C04Rik	0
1700008J07Rik	96
1700008K24Rik	0
1700008O03Rik	0
1700008P02Rik	0
1700009C05Rik	0
1700009J07Rik	0
1700009N14Rik	0
1700010B08Rik	0
1700010D01Rik	0
1700010G06Rik	4
1700010H22Rik	0
1700010I02Rik	0
1700010I14Rik	86
1700010J16Rik	0
1700010K23Rik	0
1700010L04Rik	0
1700010N08Rik	0
1700011B04Rik	0
1700011C11Rik	1
1700011L22Rik	0
1700012A03Rik	0
1700012B07Rik	0
1700012B09Rik	0
1700012C14Rik	0
1700012D01Rik	97
1700012D16Rik	0
1700012H19Rik	0
1700012I11Rik	3
1700012J15Rik	0
1700013D24Rik	0
1700013G24Rik	0
1700013H16Rik	0
1700013N06Rik	0
1700014L14Rik	0
1700015C15Rik	0
1700015I17Rik	0
1700016A09Rik	0
1700016B01Rik	0
1700016C19Rik	0
1700016G22Rik	0
1700016H13Rik	0
1700016J18Rik	0
1700016K05Rik	0
1700016L04Rik	212
1700016L21Rik	0
1700016P04Rik	0
1700017B05Rik	268
1700017G19Rik	0
1700017J07Rik	0
1700017L05Rik	0
1700017M07Rik	0
1700017N19Rik	0
1700018A04Rik	0
1700018A23Rik	11
1700018B08Rik	0
1700018B24Rik	0
1700018F24Rik	0
1700018L02Rik	89
1700019A02Rik	2
1700019C18Rik	0
1700019D03Rik	0
1700019E08Rik	0
1700019F05Rik	0
1700019G24Rik	0
1700019J19Rik	0
1700019M22Rik	0
1700019P21Rik	0
1700020A23Rik	0
1700020D12Rik	0
1700020D14Rik	0
1700020G03Rik	0
1700020G17Rik	4
1700020L13Rik	0
1700020L24Rik	0
1700020M21Rik	0
1700020N01Rik	0
1700020N15Rik	0
1700020N18Rik	0
1700021F02Rik	0
1700021G15Rik	0
1700021L23Rik	0
1700021N21Rik	0
1700022A21Rik	0
1700022A22Rik	0
1700022E09Rik	0
1700022H01Rik	0
1700022H16Rik	0
1700022N22Rik	34
1700023A20Rik	0
1700023C21Rik	0
1700023D09Rik	49
1700023F02Rik	0
1700023G09Rik	0
1700024B05Rik	0
1700024B18Rik	1
1700024G13Rik	0
1700024I08Rik	0
1700024J04Rik	0
1700024N05Rik	0
1700025B11Rik	0
1700025C18Rik	0
1700025D23Rik	0
1700025F24Rik	0
1700025G04Rik	134
1700025H01Rik	0
1700025J12Rik	0
1700025K04Rik	0
1700025K24Rik	0
1700025M24Rik	0
1700025N21Rik	0
1700025N23Rik	0
1700025O08Rik	0
1700026D11Rik	0
1700026F02Rik	0
1700026J12Rik	0
1700026J14Rik	0
1700027F06Rik	0
1700027F09Rik	0
1700027H10Rik	0
1700027I24Rik	0
1700027J07Rik	0
1700028B04Rik	0
1700028D13Rik	0
1700028E10Rik	28
1700028I16Rik	0
1700028J19Rik	6
1700028K03Rik	6
1700028M03Rik	0
1700028P15Rik	0
1700029B22Rik	0
1700029F12Rik	0
1700029H14Rik	0
1700029J03Rik	0
1700029M03Rik	0
1700029M20Rik	0
1700029N11Rik	0
1700030A11Rik	0
1700030C10Rik	95
1700030C12Rik	0
1700030C14Rik	0
1700030F04Rik	0
1700030I03Rik	0
1700030J22Rik	20
1700030K09Rik	252
1700030L20Rik	0
1700030L22Rik	0
1700030M09Rik	0
1700030N03Rik	2
1700030O20Rik	0
1700031A10Rik	0
1700031F05Rik	0
1700031L13Rik	0
1700031M16Rik	0
1700031P21Rik	0
1700034B16Rik	0
1700034E13Rik	0
1700034G24Rik	0
1700034H15Rik	22
1700034J05Rik	0
1700034K08Rik	0
1700034P13Rik	30
1700036A12Rik	0
1700036G14Rik	0
1700037C18Rik	0
1700037F03Rik	32
1700039E22Rik	0
1700039I01Rik	0
1700039M10Rik	0
1700039O17Rik	0
1700040D17Rik	7
1700040F15Rik	0
1700040G22Rik	0
1700040K01Rik	0
1700040P09Rik	0
1700041A01Rik	0
1700041B01Rik	0
1700041C23Rik	0
1700041G16Rik	2
1700041I07Rik	0
1700041M19Rik	0
1700042G15Rik	0
1700042O10Rik	5
1700044C05Rik	0
1700044K03Rik	0
1700045H11Rik	16
1700046C09Rik	0
1700047A11Rik	0
1700047E10Rik	0
1700047F07Rik	0
1700047G03Rik	0
1700047L14Rik	0
1700047M11Rik	74
1700048B10Rik	0
1700048F04Rik	0
1700048M11Rik	2
1700048O14Rik	0
1700048O20Rik	118
1700049E15Rik	0
1700049E17Rik1	0
1700049E17Rik2	0
1700049E22Rik	0
1700049J03Rik	0
1700049L16Rik	0
1700051A21Rik	0
1700051K13Rik	0
1700052H01Rik	0
1700052I22Rik	0
1700052K11Rik	75
1700054A03Rik	0
1700054K19Rik	0
1700054M17Rik	0
1700054O19Rik	0
1700055C04Rik	0
1700055D16Rik	15
1700055D18Rik	22
1700055K11Rik	0
1700055L01Rik	0
1700056E22Rik	36
1700057H15Rik	0
1700057H21Rik	0
1700060C16Rik	1
1700060C20Rik	0
1700060J05Rik	0
1700061F12Rik	0
1700061I17Rik	28
1700061J23Rik	0
1700061N14Rik	2
1700062C10Rik	0
1700063A18Rik	0
1700063D05Rik	2
1700063H04Rik	0
1700063H06Rik	0
1700063K16Rik	0
1700063O14Rik	0
1700064F23Rik	0
1700064J06Rik	0
1700064M15Rik	0
1700065D16Rik	0
1700065I16Rik	0
1700065J11Rik	0
1700065J18Rik	0
1700065L07Rik	0
1700065O20Rik	0
1700066B17Rik	0
1700066C05Rik	0
1700066J03Rik	0
1700066M21Rik	1185
1700066N21Rik	0
1700066O22Rik	0
1700067G17Rik	0
1700067K01Rik	6
1700067P10Rik	0
1700069L16Rik	0
1700069P05Rik	0
1700071G01Rik	0
1700071K01Rik	0
1700071M16Rik	0
1700072B07Rik	0
1700072F12Rik	0
1700072I22Rik	0
1700072O05Rik	0
1700073E17Rik	0
1700074H08Rik	0
1700080F18Rik	0
1700080G11Rik	0
1700080N15Rik	0
1700081B01Rik	0
1700081H04Rik	0
1700082M22Rik	21
1700083H02Rik	0
1700084D21Rik	0
1700084E18Rik	11
1700084F23Rik	0
1700084J12Rik	0
1700084M14Rik	0
1700085C21Rik	0
1700086D15Rik	0
1700086L19Rik	0
1700086O06Rik	118
1700086P04Rik	9
1700087M22Rik	0
1700088E04Rik	24
1700091H14Rik	0
1700091J24Rik	0
1700092C02Rik	0
1700092C10Rik	16
1700092E19Rik	0
1700092K14Rik	0
1700093K21Rik	0
1700094J05Rik	0
1700094M23Rik	0
1700094M24Rik	0
1700095A13Rik	0
1700095A21Rik	9
1700095B10Rik	0
1700095J03Rik	0
1700095J07Rik	0
1700095J12Rik	0
1700095K22Rik	0
1700096J18Rik	0
1700096K18Rik	97
1700096P03Rik	0
1700097N02Rik	0
1700099I09Rik	0
1700100I10Rik	0
1700100L14Rik	0
1700101I11Rik	8
1700101O22Rik	0
1700102H20Rik	8
1700102J08Rik	0
1700102P08Rik	19
1700104B16Rik	0
1700104L18Rik	0
1700105F02Rik	0
1700105P06Rik	0
1700108F19Rik	2
1700108I11Rik	0
1700108J01Rik	0
1700108N06Rik	0
1700109G14Rik	0
1700109G15Rik	0
1700109H08Rik	152
1700109I08Rik	0
1700109K24Rik	0
1700110C19Rik	0
1700110I01Rik	0
1700110I07Rik	0
1700110K17Rik	0
1700111N16Rik	1
1700112D23Rik	53
1700112H15Rik	0
1700112J05Rik	0
1700112J16Rik	12
1700112M02Rik	0
1700112N08Rik	0
1700113A16Rik	111
1700113B09Rik	0
1700113H08Rik	4
1700116B05Rik	0
1700116H05Rik	0
1700119H24Rik	25
1700120B22Rik	0
1700120C14Rik	18
1700120E14Rik	0
1700120G07Rik	0
1700120K04Rik	0
1700121C08Rik	0
1700121C10Rik	0
1700121L16Rik	0
1700121M21Rik	8
1700121N20Rik	0
1700122C19Rik	0
1700122E12Rik	46
1700122H20Rik	0
1700122O11Rik	0
1700123J17Rik	0
1700123K08Rik	0
1700123M08Rik	13
1700123O12Rik	0
1700123O20Rik	820
1700123O21Rik	0
1700124L16Rik	2
1700124M09Rik	0
1700125G02Rik	0
1700125G22Rik	0
1700125H03Rik	0
1700126A01Rik	0
1700126G02Rik	0
1700126H18Rik	0
1700127F24Rik	0
1700128A07Rik	4
1700128E19Rik	0
1700128F08Rik	0
1700129C05Rik	0
1810006J02Rik	5
1810007C17Rik	0
1810007D17Rik	0
1810008I18Rik	3222
1810009A15Rik	0
1810009J06Rik	0
1810010H24Rik	95
1810010K12Rik	0
1810012K16Rik	0
1810013A23Rik	0
1810013D15Rik	61
1810014B01Rik	143
1810018F18Rik	0
1810019D21Rik	3244
1810019N24Rik	5
1810021B22Rik	95
1810021M19Rik	19
1810024B03Rik	114
1810030O07Rik	301
1810034E14Rik	544
1810035K13Rik	0
1810037I17Rik	996
1810041H14Rik	13
1810044D09Rik	92
1810049I09Rik	0
1810053B23Rik	217
1810055G02Rik	626
1810062G17Rik	81
1810062O18Rik	11
1810063I02Rik	0
1810064F22Rik	35
1810065E05Rik	0
1810073O08Rik	5
2010001A14Rik	155
2010001M07Rik	0
2010003K11Rik	272
2010004M13Rik	50
2010009K17Rik	5
2010010A06Rik	0
2010016I18Rik	30
2010103J01Rik	0
2010106C02Rik	0
2010106E10Rik	0
2010109A12Rik	16
2010109P13Rik	0
2010110K18Rik	1
2010203P06Rik	0
2010204K13Rik	2
2010308F09Rik	13
2010310C07Rik	0
2010315B03Rik	793
2010320M18Rik	252
2010320O07Rik	4
2200002D01Rik	254
2200002J24Rik	0
2210011K15Rik	0
2210016L21Rik	536
2210039B01Rik	277
2210404E10Rik	0
2210406O10Rik	19
2210408F21Rik	956
2210408I21Rik	153
2210409D07Rik	0
2210409E12Rik	0
2210414B05Rik	0
2210416O15Rik	0
2210417A02Rik	120
2210418O10Rik	698
2210420H20Rik	0
2300002M23Rik	0
2300003K06Rik	0
2300009A05Rik	431
2310001H17Rik	796
2310001K24Rik	0
2310002D06Rik	0
2310002F09Rik	0
2310002L09Rik	0
2310003N18Rik	0
2310005A03Rik	0
2310005E17Rik	0
2310008N11Rik	0
2310009B15Rik	153
2310010J17Rik	53
2310011J03Rik	460
2310015A10Rik	591
2310015A16Rik	1812
2310015D24Rik	0
2310015K22Rik	0
2310016D03Rik	0
2310016D23Rik	2
2310016G11Rik	14
2310020H05Rik	0
2310022A10Rik	178
2310022B05Rik	533
2310026I22Rik	0
2310030A07Rik	0
2310030G06Rik	703
2310033P09Rik	269
2310034C09Rik	0
2310034G01Rik	5
2310034O05Rik	6
2310039H08Rik	1202
2310039L15Rik	4
2310040G24Rik	99
2310043L19Rik	0
2310043M15Rik	6
2310043O21Rik	0
2310047D07Rik	0
2310047K21Rik	61
2310057J18Rik	0
2310057M21Rik	90
2310057N15Rik	0
2310058D17Rik	117
2310058N22Rik	0
2310061I04Rik	978
2310061N02Rik	0
2310065F04Rik	0
2310067E19Rik	0
2310068J16Rik	20
2310069B03Rik	0
2310069G16Rik	10
2310075C17Rik	0
2310075K07Rik	42
2310079G19Rik	0
2310081J21Rik	0
2400006E01Rik	0
2410002F23Rik	599
2410003I16Rik	0
2410003L11Rik	8
2410004B18Rik	243
2410004I01Rik	0
2410004P03Rik	4
2410006H16Rik	278
2410012E07Rik	0
2410017I17Rik	0
2410018L13Rik	0
2410021H03Rik	0
2410022M11Rik	49
2410080I02Rik	5
2410124H12Rik	0
2410137M14Rik	0
2500002B13Rik	53
2500004C02Rik	100
2510002D24Rik	627
2510003B16Rik	9
2510009E07Rik	348
2510022D24Rik	595
2510039O18Rik	779
2600006K01Rik	0
2600014E21Rik	237
2610005L07Rik	728
2610008E11Rik	539
2610016A17Rik	0
2610017A05Rik	4
2610020C07Rik	30
2610024D14Rik	0
2610027F03Rik	0
2610027K06Rik	13
2610028E06Rik	3
2610028H24Rik	2
2610029K11Rik	190
2610035D17Rik	102
2610035F20Rik	0
2610037D02Rik	0
2610042L04Rik	0
2610203C22Rik	43
2610206C17Rik	4
2610300M13Rik	0
2610306M01Rik	95
2610307P16Rik	7
2610316D01Rik	0
2610318M16Rik	3
2610318N02Rik	0
2610507I01Rik	1335
2610524H06Rik	11
2610528J11Rik	439
2700003A03Rik	0
2700012I20Rik	13
2700038G22Rik	11
2700046A07Rik	0
2700049A03Rik	221
2700054A10Rik	2
2700062C07Rik	248
2700068H02Rik	0
2700069I18Rik	83
2700070H01Rik	0
2700089I24Rik	0
2700097O09Rik	562
2700099C18Rik	22
2810001A02Rik	195
2810001G20Rik	154
2810002D19Rik	57
2810004N23Rik	732
2810013P06Rik	417
2810021J22Rik	99
2810025M15Rik	286
2810029C07Rik	5
2810030D12Rik	44
2810032G03Rik	0
2810039B14Rik	48
2810047C21Rik1	24
2810048H02Rik	0
2810049E08Rik	0
2810403D21Rik	29
2810404M03Rik	0
2810405F15Rik	0
2810405F17Rik	49
2810407A14Rik	1
2810408A11Rik	5
2810408B13Rik	5
2810408I11Rik	21
