0610005C13Rik	7433
0610006L08Rik	0
0610009E02Rik	112
0610009L18Rik	20
0610010K14Rik	556
0610025J13Rik	0
0610030E20Rik	1719
0610031O16Rik	6867
0610038B21Rik	0
0610039H22Rik	2
0610039K10Rik	3
0610040B10Rik	79
0610040F04Rik	40
0610040J01Rik	1543
0610042G04Rik	58
0610043K17Rik	311
1100001I12Rik	0
1110002E22Rik	3
1110002J07Rik	26
1110002L01Rik	449
1110002O04Rik	0
1110004F10Rik	1701
1110006O24Rik	14
1110015O18Rik	0
1110018N20Rik	53
1110019D14Rik	106
1110020A21Rik	257
1110025L11Rik	0
1110025M09Rik	93
1110028F11Rik	0
1110028F18Rik	0
1110032F04Rik	0
1110036E04Rik	8
1110038B12Rik	631
1110038F14Rik	371
1110046J04Rik	21
1110057P08Rik	0
1110058D11Rik	1
1110059E24Rik	233
1110059G10Rik	482
1110065P20Rik	329
1190005I06Rik	0
1190028D05Rik	0
1300002E11Rik	557
1500002C15Rik	7
1500002F19Rik	43
1500004A13Rik	23
1500009L16Rik	0
1500011B03Rik	34
1500012K07Rik	0
1500015A07Rik	120
1500015L24Rik	0
1500026H17Rik	74
1500035N22Rik	0
1600002D24Rik	5
1600010M07Rik	25
1600012H06Rik	1039
1600012P17Rik	0
1600014C10Rik	5416
1600014C23Rik	0
1600015H23Rik	0
1600019K03Rik	0
1600020E01Rik	560
1600023N17Rik	19
1600025M17Rik	0
1600027J07Rik	0
1600029I14Rik	0
1600029O15Rik	0
1700001D01Rik	0
1700001F09Rik	0
1700001G01Rik	6
1700001G11Rik	0
1700001G17Rik	0
1700001J03Rik	5
1700001J04Rik	0
1700001J11Rik	0
1700001K19Rik	0
1700001K23Rik	3
1700001L05Rik	361
1700001O22Rik	0
1700003C15Rik	0
1700003D09Rik	0
1700003E16Rik	19
1700003E24Rik	0
1700003F12Rik	2
1700003G18Rik	10
1700003H04Rik	1
1700003I22Rik	0
1700003L19Rik	0
1700003M07Rik	0
1700003P14Rik	0
1700006A11Rik	0
1700006F04Rik	0
1700006H20Rik	0
1700006H21Rik	0
1700006J14Rik	17
1700007E05Rik	2
1700007F19Rik	5
1700007J10Rik	4
1700007L15Rik	55
1700007P06Rik	0
1700008C04Rik	0
1700008J07Rik	63
1700008K24Rik	0
1700008O03Rik	3
1700008P02Rik	0
1700009C05Rik	0
1700009J07Rik	0
1700009N14Rik	0
1700010B08Rik	0
1700010D01Rik	0
1700010G06Rik	0
1700010H22Rik	0
1700010I02Rik	0
1700010I14Rik	29
1700010J16Rik	0
1700010K23Rik	0
1700010L04Rik	0
1700010N08Rik	0
1700011B04Rik	0
1700011C11Rik	2
1700011L22Rik	6
1700012A03Rik	0
1700012B07Rik	0
1700012B09Rik	0
1700012C14Rik	0
1700012D01Rik	117
1700012D16Rik	0
1700012H19Rik	0
1700012I11Rik	3
1700012J15Rik	0
1700013D24Rik	0
1700013G24Rik	0
1700013H16Rik	0
1700013N06Rik	0
1700014L14Rik	0
1700015C15Rik	4
1700015I17Rik	0
1700016A09Rik	0
1700016B01Rik	0
1700016C19Rik	0
1700016G22Rik	0
1700016H13Rik	0
1700016J18Rik	0
1700016K05Rik	0
1700016L04Rik	246
1700016L21Rik	0
1700016P04Rik	0
1700017B05Rik	323
1700017G19Rik	0
1700017J07Rik	0
1700017L05Rik	0
1700017M07Rik	0
1700017N19Rik	0
1700018A04Rik	0
1700018A23Rik	18
1700018B08Rik	0
1700018B24Rik	0
1700018F24Rik	0
1700018L02Rik	114
1700019A02Rik	29
1700019C18Rik	0
1700019D03Rik	0
1700019E08Rik	0
1700019F05Rik	0
1700019G24Rik	0
